"Datum";"Coronatrend";"Bundesland";"BL_ID"
"2020-05-06";42;"Bayern";9
"2020-05-07";36;"Bayern";9
"2020-05-08";32;"Bayern";9
"2020-05-09";31;"Bayern";9
"2020-05-10";34;"Bayern";9
"2020-05-11";32;"Bayern";9
"2020-05-12";31;"Bayern";9
"2020-05-13";29;"Bayern";9
"2020-05-14";27;"Bayern";9
"2020-05-15";27;"Bayern";9
"2020-05-16";27;"Bayern";9
"2020-05-17";29;"Bayern";9
"2020-05-18";29;"Bayern";9
"2020-05-19";27;"Bayern";9
"2020-05-20";25;"Bayern";9
"2020-05-21";25;"Bayern";9
"2020-05-22";22;"Bayern";9
"2020-05-23";24;"Bayern";9
"2020-05-24";26;"Bayern";9
"2020-05-25";26;"Bayern";9
"2020-05-26";28;"Bayern";9
"2020-05-27";25;"Bayern";9
"2020-05-28";23;"Bayern";9
"2020-05-29";23;"Bayern";9
"2020-05-30";20;"Bayern";9
"2020-05-31";22;"Bayern";9
"2020-06-01";23;"Bayern";9
"2020-06-02";23;"Bayern";9
"2020-06-03";22;"Bayern";9
"2020-06-04";23;"Bayern";9
"2020-06-05";21;"Bayern";9
"2020-06-06";19;"Bayern";9
"2020-06-07";19;"Bayern";9
"2020-06-08";21;"Bayern";9
"2020-06-09";20;"Bayern";9
"2020-06-10";19;"Bayern";9
"2020-06-11";20;"Bayern";9
"2020-06-12";20;"Bayern";9
"2020-06-13";19;"Bayern";9
"2020-06-14";21;"Bayern";9
"2020-06-15";24;"Bayern";9
"2020-06-16";37;"Bayern";9
"2020-03-01";18;"Thüringen";16
"2020-03-02";18;"Thüringen";16
"2020-03-03";27;"Thüringen";16
"2020-03-04";19;"Thüringen";16
"2020-03-05";20;"Thüringen";16
"2020-03-06";22;"Thüringen";16
"2020-03-07";17;"Thüringen";16
"2020-03-08";21;"Thüringen";16
"2020-03-09";25;"Thüringen";16
"2020-03-10";33;"Thüringen";16
"2020-03-11";41;"Thüringen";16
"2020-03-12";68;"Thüringen";16
"2020-03-13";100;"Thüringen";16
"2020-03-14";80;"Thüringen";16
"2020-03-15";95;"Thüringen";16
"2020-03-16";95;"Thüringen";16
"2020-03-17";91;"Thüringen";16
"2020-03-18";92;"Thüringen";16
"2020-03-19";94;"Thüringen";16
"2020-03-20";94;"Thüringen";16
"2020-03-21";92;"Thüringen";16
"2020-03-22";93;"Thüringen";16
"2020-03-23";73;"Thüringen";16
"2020-03-24";71;"Thüringen";16
"2020-03-25";63;"Thüringen";16
"2020-03-26";68;"Thüringen";16
"2020-03-27";63;"Thüringen";16
"2020-03-28";66;"Thüringen";16
"2020-03-29";57;"Thüringen";16
"2020-03-30";51;"Thüringen";16
"2020-03-31";51;"Thüringen";16
"2020-04-01";51;"Thüringen";16
"2020-04-02";50;"Thüringen";16
"2020-04-03";46;"Thüringen";16
"2020-04-04";48;"Thüringen";16
"2020-04-05";50;"Thüringen";16
"2020-04-06";46;"Thüringen";16
"2020-04-07";44;"Thüringen";16
"2020-04-08";43;"Thüringen";16
"2020-04-09";40;"Thüringen";16
"2020-04-10";38;"Thüringen";16
"2020-04-11";36;"Thüringen";16
"2020-04-12";33;"Thüringen";16
"2020-04-13";35;"Thüringen";16
"2020-04-14";39;"Thüringen";16
"2020-04-15";63;"Thüringen";16
"2020-04-16";45;"Thüringen";16
"2020-04-17";36;"Thüringen";16
"2020-04-18";32;"Thüringen";16
"2020-04-19";36;"Thüringen";16
"2020-04-20";35;"Thüringen";16
"2020-04-21";35;"Thüringen";16
"2020-04-22";36;"Thüringen";16
"2020-04-23";33;"Thüringen";16
"2020-04-24";31;"Thüringen";16
"2020-04-25";31;"Thüringen";16
"2020-04-26";30;"Thüringen";16
"2020-04-27";28;"Thüringen";16
"2020-04-28";33;"Thüringen";16
"2020-04-29";33;"Thüringen";16
"2020-04-30";34;"Thüringen";16
"2020-05-01";29;"Thüringen";16
"2020-05-02";26;"Thüringen";16
"2020-05-03";30;"Thüringen";16
"2020-05-04";27;"Thüringen";16
"2020-05-05";32;"Thüringen";16
"2020-05-06";43;"Thüringen";16
"2020-05-07";38;"Thüringen";16
"2020-05-08";33;"Thüringen";16
"2020-05-09";30;"Thüringen";16
"2020-05-10";29;"Thüringen";16
"2020-05-11";29;"Thüringen";16
"2020-05-12";30;"Thüringen";16
"2020-05-13";33;"Thüringen";16
"2020-05-14";27;"Thüringen";16
"2020-05-15";24;"Thüringen";16
